layer,head,component,succ_mean,fail_mean,delta,n_succ,n_fail
0,21,injected_reasoning,0.0,0.0003575607478723972,-0.0003575607478723972,7,33
0,22,benign_puzzle_scaffold,0.32107055443950916,0.03246264303479214,0.28860791140471703,7,33
0,22,final_answer_cue,0.6849189134107087,0.9721287003442494,-0.2872097869335407,7,33
0,22,harmful_instruction,0.0,0.002025095216149414,-0.002025095216149414,7,33
0,22,injected_reasoning,0.0,2.1262964617582365e-05,-2.1262964617582365e-05,7,33
0,23,benign_puzzle_scaffold,0.6849733376974633,0.5108961006529268,0.17407723704453648,7,33
0,23,final_answer_cue,0.31325024004703383,0.4876715603053747,-0.17442132025834084,7,33
0,23,harmful_instruction,0.0,0.0008945551270014285,-0.0008945551270014285,7,33
0,23,injected_reasoning,0.0,0.00023328527614683645,-0.00023328527614683645,7,33
1,0,benign_puzzle_scaffold,0.6308309500486811,0.4996007930623275,0.13123015698635354,7,33
1,0,final_answer_cue,0.2496747431037729,0.3751839937940683,-0.1255092506902954,7,33
1,0,harmful_instruction,0.0,0.0003477349039079104,-0.0003477349039079104,7,33
1,0,injected_reasoning,0.0,0.0001938264925612524,-0.0001938264925612524,7,33
1,1,benign_puzzle_scaffold,0.6176082466276313,0.4717538473060923,0.14585439932153893,7,33
1,1,final_answer_cue,0.2639013374045735,0.4056024812235271,-0.1417011438189536,7,33
1,1,harmful_instruction,0.0,0.0003158978083808567,-0.0003158978083808567,7,33
1,1,injected_reasoning,0.0,0.00020351110384867437,-0.00020351110384867437,7,33
1,2,benign_puzzle_scaffold,0.6768257310496452,0.5728597023868776,0.1039660286627676,7,33
1,2,final_answer_cue,0.17400615122290342,0.27033826684100865,-0.09633211561810523,7,33
1,2,harmful_instruction,0.0,0.0001517999035348383,-0.0001517999035348383,7,33
1,2,injected_reasoning,0.0,0.00039043376130048157,-0.00039043376130048157,7,33
1,3,benign_puzzle_scaffold,0.8032581143581162,0.6979667308555692,0.10529138350254708,7,33
1,3,final_answer_cue,0.16635225641910448,0.27374021576611585,-0.10738795934701137,7,33
1,3,harmful_instruction,0.0,0.00019987212133953093,-0.00019987212133953093,7,33
1,3,injected_reasoning,0.0,0.0010174580805500481,-0.0010174580805500481,7,33
1,4,benign_puzzle_scaffold,0.7930834710021111,0.6828216869684833,0.11026178403362774,7,33
1,4,final_answer_cue,0.1754646456931581,0.2880572420726321,-0.11259259637947402,7,33
1,4,harmful_instruction,0.0,0.0002508083014075894,-0.0002508083014075894,7,33
