step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
190,0,E,False,0.05,0.3886,0.2133,0.224,0.1741,-0.3102,0.3292,,stage4_7,cost_mechanistic
191,3,D,True,1.1,0.3257,0.2429,0.2403,0.1912,0.1839,0.9345,,stage4_8,cost_mechanistic
192,1,F,False,0.0902,0.2842,0.223,0.2079,0.2849,-0.1715,0.2446,6.649,stage4_7,cost_mechanistic
193,1,A,False,0.1,0.2828,0.2234,0.2083,0.2856,-0.1446,0.2301,,stage4_8,cost_mechanistic
194,1,A,False,0.1,0.2815,0.2238,0.2086,0.2862,-0.1301,0.2171,4.782,stage4_7,cost_mechanistic
195,1,A,False,0.1,0.2804,0.2241,0.2089,0.2867,-0.1171,0.2054,,stage4_8,cost_mechanistic
196,0,F,False,0.1,0.3901,0.2137,0.2218,0.1744,-0.2292,0.3063,,stage4_8,cost_mechanistic
197,0,A,False,0.1,0.3881,0.2144,0.2226,0.1749,-0.2063,0.2857,,stage4_8,cost_mechanistic
198,2,E,False,0.05,0.2579,0.2998,0.2111,0.2312,-0.648,0.6332,,stage4_7,cost_mechanistic
199,2,F,True,1.1,0.2566,0.298,0.2153,0.2302,0.4668,0.6799,,stage4_8,cost_mechanistic
200,3,A,True,1.1,0.3273,0.2422,0.2397,0.1908,0.1655,0.951,,stage4_8,cost_mechanistic
201,0,E,False,-0.25,0.3911,0.215,0.2233,0.1706,-0.5357,0.2321,,stage4_7,cost_mechanistic
202,0,D,False,0.1,0.3919,0.2138,0.2235,0.1707,-0.1321,0.2189,,stage4_8,cost_mechanistic
203,3,A,True,1.1,0.3288,0.2417,0.2391,0.1904,0.149,0.9659,,stage4_8,cost_mechanistic
204,1,A,False,0.1,0.2793,0.2244,0.2091,0.2872,-0.1054,0.1949,,stage4_8,cost_mechanistic
205,3,E,True,1.05,0.3284,0.2415,0.239,0.1911,0.0841,0.9743,,stage4_7,cost_mechanistic
206,3,E,True,1.05,0.3281,0.2413,0.2388,0.1918,0.0757,0.9819,,stage4_7,cost_mechanistic
